frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	13.05054	0.13073	0.02222	0.00141	0.47424	0.00075	2.21393	0.00288	0.005	0.19048	0.00529	0.01141	0.0055	0.06183	0.00153	0.77837	0.50422	5.30108	0.00252	0.08692	0.03638	0.0	0.51992	2.53775	0.35692	0.19542	0.00172	0.0	0.01138	0.0	0.0	0.00429	0.12348	1e-05	0.00028	0.0	0.02162	2e-05	3e-05	0.00059	0.48399	0.10032	1e-05	0.01006	0.00051	0.0	1e-05
30	60	674.67176	310.60408	301.51321	407.42922	316.68947	338.97228	553.18716	119.79226	409.6334	444.70948	711.66644	125.23745	887.32569	572.04087	387.99073	242.77849	427.82557	429.77799	179.91798	400.10125	448.05923	345.29508	370.69386	891.88116	209.4271	595.73227	114.3867	571.31097	502.01436	355.88578	456.1903	179.01348	267.13269	472.59743	79.04162	132.72752	77.99151	522.38031	689.0635	495.43211	720.56494	379.6163	106.51273	265.48297	218.77341	279.78003	512.92517
60	90	1180.14163	1125.40451	1228.44085	1340.08661	1284.89379	1203.66447	1451.58533	394.39291	1812.42939	2157.59189	1990.69579	994.94726	1410.19969	1782.89394	1787.06882	985.1983	1544.75129	801.91776	823.13342	1090.87361	969.22184	759.55082	1000.94675	1868.25117	1892.15476	2196.51161	1335.25609	2410.05868	1789.6137	1487.47401	1008.50717	1533.88346	1845.25363	1557.50159	1168.67431	1366.65222	1146.7972	2383.37001	1779.62059	1136.63014	1936.39114	1849.91803	1811.34911	1565.15779	1401.73247	455.92776	1004.24201
90	120	2573.91018	2577.27911	2617.68786	2469.6382	2747.55385	2252.96082	3667.03429	1468.51727	3030.01929	3149.88089	4178.59402	2215.14555	1760.02887	3329.05746	2209.54361	2278.55812	2464.31105	2593.09535	2252.68188	2178.16623	2255.55709	1615.15576	3034.1667	2967.65438	1776.75913	2833.45989	2168.87035	3372.14323	1816.83168	2668.25479	2756.2546	2564.73952	2813.66437	3179.50344	1504.14849	2684.00635	1980.88784	2453.97106	2154.57435	2012.55923	2439.85199	2339.46446	1382.33716	2500.30565	2881.04339	2296.79565	2251.88148
120	150	3989.6288	2321.80776	5126.36726	4187.68771	4257.77658	2940.79142	4637.19437	3167.1203	3770.64691	4264.65954	3147.49757	2596.65442	3662.92718	4040.01151	4037.65301	4520.69482	3503.94875	2608.76084	2256.02148	2970.28142	3284.36262	2853.78268	3524.21321	5390.87151	2850.08551	6277.07709	3420.61828	5240.86861	3546.92234	3785.56408	2486.75285	4031.18595	4392.94582	3730.51896	2131.08998	3153.12549	2647.56666	4475.60399	3243.41243	3250.57489	3500.0236	4084.62386	3112.84335	4001.38817	3378.57271	2810.25891	3581.60416
150	180	5194.55385	4196.15311	5932.57992	4663.61357	5057.11207	4996.73429	4854.65249	2958.89154	5812.33337	5791.66606	6126.11089	3796.55627	4306.8721	4716.90655	3730.96425	3054.45277	3572.02545	3363.38771	3519.19124	2706.96141	3637.30666	3239.50241	3854.74937	5157.45092	4312.81867	4880.42758	3001.74817	5638.56456	4709.16068	5745.53372	2993.06462	4344.55251	4766.07449	4967.1443	4126.79688	4536.62305	3362.54545	3804.86482	3804.2493	4633.20672	3368.88703	4458.79604	4242.88333	4213.62314	3818.48964	2525.7395	3820.10867
180	240	4038.65934	4156.01761	4788.84216	4079.07278	4560.02871	3422.80671	4742.10248	2218.94659	5533.38739	5149.3596	3994.82168	3683.15039	3931.81995	4857.5876	4070.3138	3678.29546	4241.67842	3597.31783	3984.7701	3609.25212	4108.1062	2473.57331	3321.40736	3966.98163	3961.61647	4495.16264	4814.77874	3821.92809	4175.38982	3873.25667	3708.47701	5365.54939	4902.94002	5337.03753	3220.71775	5062.37646	4120.79646	4846.62757	3751.65879	3764.18716	3807.70666	3886.62696	3816.53024	4579.91058	4463.31738	2599.77844	3837.28825
240	300	3577.68103	3434.15115	4924.12749	4792.10749	4317.15475	3598.0554	4977.53698	2950.14459	4823.82158	4933.83477	3950.30642	3666.76396	4347.43944	5337.18652	3637.48801	3973.62766	4091.46728	3256.34541	3689.90047	3387.04209	3523.7853	3298.26597	3470.80587	4535.79416	3269.98101	4766.76927	4197.21249	4891.20618	3336.27891	4414.10799	2663.8728	4455.70876	4364.50538	3190.80269	2957.26456	4117.32227	3192.57388	4214.09779	3745.16148	3208.24803	3687.08796	3698.2029	3087.68243	4381.12578	4206.88145	2884.18799	3886.23714
300	360	3833.11759	3378.4156	5087.90435	4740.07006	4625.59907	3042.91503	4613.12003	2327.10986	4858.69718	4619.71129	3984.21818	3346.44523	4220.85422	5857.771	5022.27921	4414.90049	4524.50776	2745.31217	3004.69149	3409.74128	3909.35042	3519.02117	4122.97007	4772.56495	3989.37264	4940.11368	4236.21293	4428.37312	4008.4609	4415.63881	4013.1027	4787.73414	4790.2555	4692.03093	2828.46815	5302.28857	4110.88565	4946.55949	4406.09265	3690.54682	4041.69661	4525.89511	3548.8241	4336.35583	4259.6875	2666.20227	3824.24947
360	480	3919.74354	3513.27244	4355.45337	3745.35422	3883.44829	3979.59374	3961.92257	3142.04388	5108.89975	4753.59336	4108.02634	3084.95605	4106.21516	4345.36206	3996.9008	3885.45205	3729.01233	3591.82048	3089.60962	3465.20184	3762.71826	2167.81902	3296.23837	3923.03575	3812.47875	4454.07138	4698.78379	4065.56678	3219.43409	4282.31359	3256.78092	4921.86098	4641.26101	3916.05908	3441.31024	4202.49121	3804.81055	5015.37971	3459.74163	3612.23916	3491.71595	3767.43479	3591.57004	4640.02001	4530.50033	2571.9082	3974.1719
480	600	4035.53444	3602.72885	4441.86504	4067.41932	3915.79739	3881.9857	4477.01427	3312.73798	5090.61597	4874.04471	4468.347	2818.04277	3952.45194	4663.78299	3908.97451	4646.10218	4239.50224	3573.90248	2875.46232	3770.96754	3934.62403	2574.52842	3554.19596	4271.06398	3914.57605	4885.06941	4798.47625	3848.62364	3848.99219	4106.54703	3228.67159	5151.97699	4904.79708	4968.63866	3291.70255	4515.10791	4052.34694	4225.33303	3493.81866	4085.92056	3672.24759	3956.41777	3824.24536	4204.74307	4488.54482	3214.08667	4086.16535
600	900	3882.99014	3593.36377	4595.54132	4303.84067	4092.66984	3603.17886	4087.9862	2503.95996	4853.4028	4758.60877	4155.15218	2998.77718	4457.06206	4645.05001	3383.64937	3653.87432	3610.10387	3169.84078	3155.42204	3451.17731	3888.74635	2765.52033	3501.28882	4171.98799	3734.4135	4372.27853	4332.06608	3754.34061	3702.12119	3984.16455	2861.24418	4810.26055	4683.33627	4007.41359	3039.81543	4092.99487	3683.47709	4272.0269	3592.96669	3874.41204	3466.13347	3608.89357	3691.76526	3984.20062	4100.65773	2874.01892	3878.40847
900	1200	3303.84542	3533.20166	3821.33536	4043.2186	3613.42024	3261.94828	4084.14167	2442.04834	4590.72462	4323.53241	3536.16808	3094.59721	4105.70788	4592.85646	3346.664	3842.06136	3605.07253	3038.12752	3307.03678	3478.36306	3734.72762	2378.41748	3417.46669	3840.68766	3692.32785	4160.11606	4331.96396	3703.29059	3015.5196	3794.76772	2834.50378	4612.63753	4418.9159	3063.50524	3294.79747	4336.60742	3915.91891	4045.09151	3051.44511	3777.13436	3128.3839	3538.95621	3679.00327	3668.64838	3690.24484	2126.44427	3480.78611
1200	1500	3415.34266	3214.20805	4167.38694	3839.59944	3538.71794	3037.84292	3493.95056	2035.33734	3946.67769	3881.06275	3584.92155	3131.31193	4104.79535	3856.1045	2868.32122	2957.5794	3116.26018	2798.03905	3115.16707	2967.59951	3164.37825	2265.47855	2783.15098	3267.71321	3622.01542	3817.91851	3850.37835	2958.88177	3057.97616	3309.50774	3367.91744	4088.5944	3859.57138	3634.42629	3537.58813	4477.87061	3926.26131	3535.69774	3034.98067	3242.0459	2917.91364	3189.99452	3808.6293	3409.23596	3475.94366	2031.63635	3174.85282
1500	1800	3197.89661	3322.14362	3674.54518	3446.72672	3345.78197	2801.36652	3518.17011	2091.66028	3802.5742	3632.30527	3298.65266	3072.18575	3376.19026	3467.31503	2734.57989	2969.35824	2875.18796	2909.89101	3260.4742	2926.2337	3009.24052	2095.59535	2654.45469	3291.26014	3125.98711	3782.44069	3480.64911	3199.77184	2919.37752	2998.29458	2614.8809	3496.8361	3376.96182	3236.12725	2706.33651	3489.92944	3182.81549	3253.60809	2620.02566	2873.89284	2500.11003	2887.06969	3087.5625	3066.60161	3076.81645	2127.33472	2996.61752
1800	2100	3016.1166	3405.45623	3070.24946	3260.92927	2717.66068	2843.39125	2824.42355	1889.9939	3551.11606	3390.26543	3268.10565	2857.75057	3413.09363	3274.72725	2569.05015	2510.3129	2649.79958	3032.6916	3030.93538	2819.53977	2832.60223	1863.11086	2667.21514	2746.33766	2938.70381	3022.63287	3178.6119	2759.89601	2571.79774	2549.96187	2498.21997	3287.22065	3193.16785	3199.24428	2700.79778	3273.91821	2912.29113	2868.24397	2548.38605	2415.33359	2234.24411	2667.3527	2933.76465	2793.4339	2700.88662	1744.5744	2709.41573
2100	2400	2791.0996	3128.825	2814.03904	3088.31976	2509.0377	2532.42806	2767.26691	2320.79218	3330.94878	3228.8952	2880.91183	2683.67192	3120.57563	3074.13561	2469.06149	2560.88063	2299.49674	2686.6049	2812.40283	2519.62697	2664.95218	1881.5425	2493.50882	2722.46435	2774.38171	2804.92631	2944.17996	2205.78852	2415.6967	2284.54759	2567.98706	2893.15005	2877.666	3089.75789	2440.83995	3035.72339	2851.82499	2545.19052	2347.80517	2452.81453	2135.96151	2685.74241	2643.59714	2618.49961	2555.90341	1943.53687	2431.47384
2400	2700	2450.1253	3107.57365	2241.08597	2977.95727	1947.6307	2331.46247	1904.99108	2060.94012	2888.29937	2764.78889	2353.43627	2934.20032	2932.87463	2485.08591	2242.7007	2164.87258	2220.10331	2550.6495	3109.7924	2474.99743	2497.98442	1963.58833	2121.97438	2361.45314	2673.31565	2488.96755	2606.94133	2003.05476	2266.83178	1987.58228	1757.61292	2590.13684	2560.29976	2286.14179	2535.00801	2504.90601	2568.66242	2212.85045	1915.00086	2256.36074	1934.23162	2300.74396	2637.56143	2381.26774	2358.57825	1392.87225	2073.25634
2700	3000	2022.88034	2511.37534	2489.89165	2532.29941	2341.31069	2325.02236	2481.30724	1812.2395	2270.24699	2263.07587	2457.1419	2603.08712	2594.29339	2456.67065	2298.07332	2202.77885	2027.01342	2206.47461	2492.30094	2196.51044	2234.76475	1659.87908	2179.79566	2120.34735	2696.19857	2251.10691	2400.39656	2298.96125	1864.37515	2209.9323	2119.5202	2603.7627	2494.54625	2253.17507	2425.40374	2984.31128	2361.30174	2150.57895	1821.96812	1886.33506	1833.18711	2432.23352	2624.82034	2204.11638	2191.96693	1585.44141	1759.12862
3000	3300	2086.79004	2339.81357	2248.83667	2175.09273	2102.16287	1816.25908	2040.64879	1694.01556	2222.41421	2240.80212	2153.50626	2322.71029	2608.88827	2194.74456	1951.84974	1968.0703	1855.60193	2164.42912	2493.47005	2059.00076	2046.40818	1847.82499	2059.74144	2030.05294	2332.16623	2265.3719	2414.72397	1981.0888	1852.264	1758.52515	1629.31342	2454.75418	2341.54428	1929.82184	2219.48753	2609.3208	2195.10453	2078.42172	1793.41999	2073.00388	1785.84897	1878.63106	2368.13113	2195.64324	2302.04407	1520.94208	1990.16488
3300	3600	1920.57759	2358.21553	2257.35651	2212.75201	2006.7763	1937.74347	1979.95458	1668.32327	2361.9934	2315.13491	2224.96726	2346.09753	2398.88433	1934.56238	1972.05808	1738.57122	1783.50656	2069.47461	2461.31584	2168.87116	2040.34643	1604.79726	1825.404	2192.87028	2102.8959	2048.33695	1786.24557	1732.51047	1500.89716	1581.99478	1581.67519	1938.38455	1925.70376	1697.28232	2109.4629	2065.83154	1584.66416	1753.43599	1551.06651	1953.20336	1628.48175	2049.15739	2140.88652	2052.86145	1921.22396	1482.78888	1862.58009
3600	3900	1808.02762	1975.96309	1698.5327	2068.59993	1647.88839	2209.22186	1823.52319	1454.68274	1897.66108	1859.83332	2428.43813	2093.78971	2114.95394	1995.82561	1856.83437	1759.47257	1608.38215	1846.25702	2065.83911	1826.23448	1858.63557	1357.4382	1877.44304	1760.75221	1884.55632	1872.98024	1692.63119	1868.34482	1787.47217	1739.66539	1507.41447	1742.6968	1728.83468	2018.64666	1935.79669	1581.64758	1914.52819	1732.95522	1478.97833	1797.64784	1421.65052	1897.17794	1922.34435	1840.99888	1788.94189	1236.54932	1708.40801
3900	4200	2045.97035	2237.59073	1918.56929	1645.27323	1707.44114	1759.45742	1743.99087	1379.19296	1874.93324	1942.33944	1837.12572	2272.72131	1745.09069	1681.56517	1715.55662	1496.96046	1576.71835	2086.30086	2164.95117	1878.99876	1774.51505	1937.54958	1571.16332	1932.71876	1886.89706	2254.78702	1982.86474	1773.63193	1823.09481	1464.7323	1773.73389	2031.53262	2005.43701	2143.95664	1825.34505	2072.40771	2154.16583	1662.56079	1718.63236	1678.68988	1497.81565	1636.55914	1794.06363	1814.69387	1868.31762	1321.33441	1580.08946
4200	4500	1972.9403	2430.68509	1775.41269	1981.51132	1733.27639	1648.49912	1708.44409	1474.76517	1754.85354	1792.13067	2171.00442	2676.11707	1969.40872	1681.51871	1669.55247	1518.71569	1573.72476	2330.91058	2601.24894	1897.01678	1829.61746	1409.91408	1602.30624	1644.77639	1942.61257	1583.29114	1757.48299	1761.19761	1606.24993	1563.00613	1487.44037	1679.33531	1685.81828	1677.27326	2125.0464	2077.72949	2038.85383	1575.55397	1460.54459	1576.36047	1524.11925	1740.23673	2055.33035	1740.88525	1686.57477	1067.18591	1482.71122
4500	4800	1758.32557	1965.84824	1523.58064	1613.26279	1352.07437	1678.56133	1448.74124	1456.44989	1671.60608	1680.98486	1974.75364	1826.88916	1813.23774	1627.18258	1484.21881	1402.08695	1375.50758	1734.72991	1869.82096	1576.70556	1618.09778	1784.3242	1710.61366	1902.1621	1724.41587	1843.68942	1557.16309	1795.43699	1605.20227	1593.03342	1296.02163	1526.27072	1593.78826	1659.95126	1740.49799	1518.5498	1776.3087	1406.4601	1477.41709	1628.11542	1265.00147	1749.64916	1688.17847	1702.52821	1592.83186	1211.18799	1532.85984
4800	5100	1476.16987	1607.99299	1560.23448	1586.38441	1463.43333	1317.36529	1349.22538	1097.83179	1576.31821	1541.77663	1605.24482	1538.68606	1640.82707	1456.19923	1425.49347	1215.2043	1390.77441	1670.50044	1431.57792	1637.39822	1619.51812	1605.12871	1538.97558	1498.57952	1614.70874	1417.21159	1638.74977	1338.1348	1398.7536	1424.60718	1159.01501	1479.51672	1559.12082	1410.21609	1510.49836	1441.09644	1883.77616	1345.23849	1201.62866	1461.96904	1190.58948	1618.23115	1615.91681	1519.23292	1438.37195	1080.49915	1371.34446
5100	5400	1620.1598	1687.59767	1564.79537	1781.76046	1564.86041	1437.79579	1327.94657	1655.56638	1631.37695	1455.85627	1689.6874	1426.80265	1775.22319	1409.19417	1354.04823	1526.31088	1319.46912	1733.39887	1612.95858	1689.84572	1555.14808	1335.11755	1627.02952	1460.34448	1429.95065	1551.54452	1682.68575	1737.19473	1428.41216	1685.8494	1201.31069	1500.82267	1476.88788	1592.36059	1263.19971	1524.49255	1624.00924	1473.01611	1345.63764	1487.81138	1207.28559	1499.43818	1317.49176	1310.57461	1435.18701	1231.83911	1453.07989
5400	5700	1097.28877	1539.95031	1119.33523	1641.13307	1168.18688	1446.31981	1261.12335	1404.86954	1580.54154	1521.42732	1623.39608	1441.07737	1685.04042	1372.12186	1443.01995	1436.98518	1255.72976	1371.0401	1397.39506	1455.14986	1471.64813	1490.05737	1285.35032	1140.46776	1335.57331	1075.68158	1333.45029	1182.7235	1343.23163	1247.12941	1177.64659	1470.50252	1334.51193	1495.65673	1303.13764	1501.41858	1440.11052	1234.45658	1327.78801	1236.72602	1145.46721	1484.81533	1324.31004	1464.89219	1416.82079	930.58252	1218.11244
5700	6000	1661.47385	1442.0743	1409.7917	1479.23655	1517.53816	1310.43544	1429.41615	1713.16418	1394.38679	1484.6678	1293.27894	1628.39372	1587.28532	1342.53161	1030.20824	1373.85078	1087.97715	1438.3399	1438.8269	1286.10737	1368.15059	1323.30399	1415.49149	1424.41006	1653.6357	1287.87132	1406.86472	1537.34159	1416.29177	1522.06012	1450.21871	1479.09248	1480.59645	1589.78383	1733.66426	1547.03345	1420.92512	1413.03863	1330.85708	1199.31891	1282.15903	1474.72802	1928.53465	1274.99189	1224.27984	1226.35278	1347.21957
6000	6300	1598.06913	1653.94209	1343.54602	1360.16381	1239.93092	1614.56811	1131.06059	1459.24515	1465.99698	1449.75946	1625.43469	1744.2892	1556.49504	1154.55663	1417.33184	1264.06188	1136.85344	1533.31522	1644.17163	1541.55075	1477.76744	1310.53887	1453.09569	1442.18209	1439.21563	1568.14155	1251.55327	1384.96439	1238.9902	1343.55424	968.50932	1493.34472	1434.09657	1283.99216	1649.74573	1691.18811	1225.54951	1170.35027	956.32497	1352.08587	1170.36857	1269.71349	1697.12811	1471.3797	1391.11801	1135.70239	1266.47736
6300	6600	1356.48719	1680.40951	1265.57392	1281.3047	1110.48804	1445.72559	1073.91467	1207.56885	1373.79694	1408.9415	1132.36466	1662.97207	1462.19576	1245.65233	1096.44952	1049.00927	1070.86205	1529.83566	1909.59245	1324.88911	1291.61917	1197.94584	1122.62234	1152.18641	1216.90366	1434.72806	1429.0248	1374.47836	1264.64593	1374.96695	1172.184	1312.14399	1275.10258	1408.44262	1303.97692	1065.45264	1311.85098	1228.97971	1335.12835	1217.48906	1266.24418	1339.53371	1360.55244	1231.7537	1302.63125	1107.40225	1237.01189
6600	6900	1276.06026	1474.63677	1462.21711	1760.47644	1592.60535	1215.68928	1384.79418	1095.48538	1295.43717	1416.76248	1399.65668	1538.05157	1641.21732	1171.27369	1135.39028	1040.84104	1159.61015	1366.75261	1408.29565	1325.16673	1381.13987	1344.19723	1227.12742	1059.28223	1504.29047	1140.88293	1135.84947	1139.38438	1102.95481	1012.38951	995.63136	1394.55419	1281.20033	1171.80126	1414.3698	1646.48328	1120.5996	1096.26387	879.48966	1145.9772	925.86164	1310.80021	1558.99954	1235.38613	1165.6636	1207.1969	1292.31419
6900	7200	1266.63611	1473.44661	1121.0358	1406.4817	1104.35169	1214.13395	1146.50093	1340.55768	1144.5891	1199.65386	1298.1693	1688.1756	1214.0026	1254.27238	988.19412	1334.1103	1201.48856	1300.8488	1643.53109	1148.42711	1065.77364	1060.76036	1282.95156	1428.59598	1387.47412	1272.43061	1392.21717	1098.32054	1369.33675	1264.74709	1089.12272	1338.36341	1231.77912	1435.54682	1392.34723	1493.46643	1444.20363	892.46364	1150.81603	1195.05558	911.36639	1426.32597	1481.14571	1409.5227	1392.88441	1041.75076	1175.17101
